summary,release_date,publisher,metascore,title,genres,userscore,developer,rating
"Ok, this game has completely blown me away so far I’m about 8 hours into it.  If you are looking for casual gameplay this is not it, this game is brutal in a way similar to how the souls games are.  If you’ve ever played Blasphemous, think of it similar to that but in my opinion this is way more polished.","Aug  2, 2021",Akupara Games,81,GRIME,Action|General|Role-Playing|Action RPG|,8.1,Funnel Entertainment,None
"Being a leader is more than just knowing how to fight or being born into it.  As the leader of your race you will need to be all things to all races using combat, diplomacy, intelligence and trade.  Everyone knows war is coming and you better be up to the challenge.  If not you better at least enjoy the war because the peace that follows will be hell. [Matrix Games]","Dec  2, 2002",Matrix Games,81,Starships Unlimited: Divided Galaxies,Strategy|Real-Time|Sci-Fi|General|,tbd,ApeZone,E
"September 1944, General Montgomery mounts the most daring Allied offensive of WW2. The plan is ambitious. Drop thirty thousand airborne troops deep behind enemy lines, seize the vital bridges across the Rhine, secure the highway to the Reich, advance the Allied armies into the German heartland and end the war by Xmas. Take command and with the aid of the world's most advanced wargame engine fight the battle and change history. The Airborne Assault game engine revolutionizes wargaming. Its pausable, continuous time game play, the most advanced artificial intelligence of any wargame, powerful and intuitive user interface and unique command system provide the most realistic and enjoyable simulation of operational warfare. Command like a real General, under real time pressures to achieve real objectives on a real map all within the fog of war. Issue orders to your powerful AI controlled subordinates or take total control of every unit. Fight the worlds most advanced AI opponent or match wits against your friends online or over a LAN. [Matrix Games]","Dec 10, 2003",Matrix Games,81,Airborne Assault: Highway to the Reich,Strategy|Real-Time|Wargame|Real-Time|General|,6.1,Panther Games,None
"<span class=""blurb blurb_collapsed"">Classic gameplay? YES<br/>Updated yet faithful visuals? YES<br/>All expansions? OH, YES!!!
A brand new episode? WHAT?! REALLY? REALLY! REALLY! And</span>","Aug 19, 2021",Bethesda Softworks,81,Quake Remastered,Action|Shooter|First-Person|Arcade|,8.6,id Software,None
"In Danger on Deception Island, you, as Nancy Drew, are investigating a string of mysterious events on Deception Island. Try this adventure by foot, bike, and kayak! Navigate sea caves, boats, and the surrounding waters in your kayak. Hop on your bike to explore the Whale Center, Hot Kettle Cafe, and Lighthouse. Walk around town or hit the sandy beach to discover a lighthouse, build sandcastles and more!","Oct  1, 2003",Her Interactive,81,Nancy Drew: Danger on Deception Island,Adventure|3D|First-Person|Modern|Modern|,7.8,Her Interactive,E
The third iteration of the Shadowrun series of group-based cRPGs. These games are fairly light on gameplay and more narrative focused than,"Aug 20, 2015",Harebrained Schemes LLC,81,Shadowrun: Hong Kong,Role-Playing|Western-Style|,7.8,Harebrained Schemes LLC,None
"For all the people giving negative reviews because they ""randomly die instantly"", i had the same problem. Except, i Googled it. Instead of","Aug 15, 2013",Gaijin Entertainment,81,War Thunder,Action|Simulation|Flight|Flight|Vehicle|Combat|,5.7,Gaijin Entertainment,T
"Supreme Commander: Forged Alliance is the next chapter in the critically acclaimed Supreme Commander franchise. The game continues the epic story following the Infinite War, featuring an all-new single-player campaign, a new faction and a myriad of innovative multiplayer features. More than one hundred new units will give players access to cutting-edge strategic options, including fully realized navies, orbital weaponry and advanced counter intelligence technologies. [THQ]","Nov  6, 2007",THQ,81,Supreme Commander: Forged Alliance,Strategy|Real-Time|Sci-Fi|Sci-Fi|General|Command|,8.9,Gas Powered Games,E10+
"One of my favourite games of all time. It's famously harsh and keen to kill you, which is part of the dark humour. It's a humour style that","Jul  1, 2014",Failbetter Games,81,Sunless Sea,Sci-Fi|Action Adventure|General|,7.5,Failbetter Games,None
"Another masterful episode by one of the best story tellers in the world, TellTale Games. From the start it had me emotionally involved, hating some, loving others. It also does a tremendous job of adding the characters from the DLC, but the pay off is great, adding yet another layer of depth to an already incredible game. The ending is also very good, leading well in to the next episode. A pleasure to spend time to play through. 10/10.","May 13, 2014",Telltale Games,81,The Walking Dead: Season Two Episode 3 - In Harm's Way,General|Action|Adventure|General|Point-and-Click|,8.1,Telltale Games,M
"Set in the iconic Marvel Universe, Marvel Heroes combines the core game-play style of Action RPGs and MMOs with the expansive library of heroes from the Marvel Universe. In the game, players can collect and play as their favorite Marvel Superheroes (including Iron Man, Thor, Wolverine, Hulk,","Jun  4, 2014",Gazillion,81,Marvel Heroes 2015,Role-Playing|Massively Multiplayer Online|Massively Multiplayer|Sci-Fi|,8.2,Gazillion,None
"Is the best FM ever? Hmm maybe. New Interface and management my team is so great! Statistics so real, 3D match engine is wonderful! And new game modes too.","Nov 13, 2015",Sports Interactive,81,Football Manager 2016,Sports|Team|Soccer|Management|,7.1,Sega,E
"VVVVVV is a retro styled 2D platformer by Terry Cavanagh, creator of dozens of free games. You play as the fearless leader of a team of dimension exploring scientists who inadvertently crash, and are separated. The game involves exploring the strange world you've found yourself in, and","Jan 11, 2010",Terry Cavanagh,81,VVVVVV,Action|Platformer|Platformer|2D|2D|None|Metroidvania|,7.9,Terry Cavanagh,None
Deceivingly addictive and surprisingly educational. Very similar to other Paradox Games. I've lost many hours to playing this. You will find it hard to put this game down!,"Jan 14, 2013",Paradox Interactive,81,Crusader Kings II: The Republic,Strategy|Real-Time|Historic|General|Historic|,8.4,Paradox Development Studio,T
"Add weather to your Sims' lives to tell new stories, enjoy seasonal activities, and celebrate heartfelt holidays with The Sims 4: Seasons. Make the most out of the weather all year round, from crisp snowfalls to sweltering heat -- every world is affected by seasons in unique ways! Create a winter story with ice skating, befriend a magical scarecrow at the fall harvest, share a spring fling during a downpour, or host a summer pool party. Gather friends and family to celebrate holidays complete with traditions, gifts and special guests. Stay warm or keep cool with all-new outfits to brave the elements. Even begin a blossoming gardening career as a botanist or by crafting floral arrangements!","Jun 22, 2018",Electronic Arts,81,The Sims 4: Seasons,Simulation|Virtual|Virtual Life|,6.2,Maxis,T
"Welcome to Britechester! Begin a new chapter for your Sim when they enroll in the historical University of Britechester or modern Foxbury Institute. Live in a dorm room or off-campus, explore Britechester on a bicycle, spend time in the student commons, and have a study session at the","Dec 17, 2019",Electronic Arts,81,The Sims 4: Discover University,Simulation|Virtual|Virtual Life|,4.6,Maxis,T
"<span class=""blurb blurb_collapsed"">A bold new era of the award-winning Life is Strange begins, with an all-new playable lead character and a thrilling mystery to solve!<br/><br/>Alex Chen has long suppressed her 'curse': the supernatural ability to experience, absorb and manipulate the strong emotions of others, which she sees as</span>","Sep 10, 2021",Square Enix,81,Life is Strange: True Colors,Action Adventure|General|,6.7,Deck Nine Games,M
"1946: Europe. World War II rages on across Europe. Where the Allies once pressed advantage, the Nazi forces have turned the tide in dramatic fashion behind the technologically advanced war machine of General Wilhelm Strasse, aka Deathshead. When a final Allied assault on Deathshead's compound fails, the Allies’ greatest hope falls with it. 1960: Europe. The war is over. And the Nazis are triumphant victors. Using unrelenting force and brutal intimidation, the Nazis have brought even the most powerful nations to their knees. The Nazi regime now rules the globe with an iron fist. You are Captain B.J. Blazkowicz, the American War Hero. After delving into this world of darkness, you must launch an impossible counter-offensive against the monstrous Nazi regime. Only you dare stand up against an unstoppable army of Nazi robots and hulking Super Soldiers. Only you can stop Deathshead. Only you can rewrite history.","May 19, 2014",Bethesda Softworks,81,Wolfenstein: The New Order,General|Action|Shooter|First-Person|Historic|Arcade|,8.2,MachineGames,M
"Remnant: From the Ashes – Swamps of Corsus requires ownership of Remnant: From the Ashes to play. Begin your journey across the dangerous and corrupted worlds of Remnant: From the Ashes with a new mode and expanded map content in the Swamps of Corsus DLC. New Mode - Survival. Fight for your life in this new rogue-like game mode! Start off your adventure with nothing but a pistol, some scrap and the skin on your back. Travel randomly through corrupted World Stones to different biomes, scrap-up gear, fight insanely-difficult bosses and test your endurance on how long you can resist The Root’s influence. The Iskal Rise. The swamps of Corsus swarm with new content! Discover a new zone in Adventure Mode, fight new bosses, experience new stories, participate in new events, find new quests, and more. Lock & Load. Pick up new items, new armor and skins, new weapons, new mods and new traits. Armor Skins. By defeating bosses in Survival Mode, or the Hard and Nightmare difficulties in Campaign and Adventure Mode, earn Glowing Shards which you can use to purchase alternate armor skins for every piece of armor available in the game. ","Apr 28, 2020",Perfect World Entertainment,81,Remnant: From the Ashes - Swamps of Corsus,Action|Shooter|Third-Person|Arcade|,6.6,Gunfire Games,M
"Touted as the most romantic event to grace the ruined halls of Ireland's Castle Malloy, the Simmons-Mallory wedding was supposed to be a fairytale beginning, but now the groom is missing! Did a banshee crash the wedding or is this a case of cold feet? Can you, as Nancy Drew, unravel the knot of scattered clues and scary superstitions? You'll need to catch more than a bridal bouquet to make this a happily ever after. [Her Interactive]","Oct 16, 2008",Her Interactive,81,Nancy Drew: The Haunting of Castle Malloy,Adventure|General|General|Point-and-Click|,7.4,Her Interactive,E
What is it that makes me like this game so much? For 3 bucks you can't go wrong. It's a just one more run kind of game plus you get to rescue a cat at the end.,"Oct 15, 2015",Devolver Digital,81,Downwell,Action|General|,6.7,Moppin,None
"Thrilling, scary, stylish a atmospheric adventure with sounds and music that sit as a bespoke suit. The game provides you with feelings and immersion that commercial survival horrors are after.","Apr 23, 2012",superflat games,81,Lone Survivor,Action Adventure|Horror|Horror|Survival|,7.4,superflat games,None
"A third-person action-adventure Star Wars title from Respawn Entertainment. The Empire seeks to eradicate all Jedi after the execution of Order 66. You, a Jedi Padawan-turned-fugitive, must fight for your survival as you explore the mysteries of a long-extinct civilization in hopes of rebuilding the Jedi Order. After narrowly escaping the Jedi purge, you’re on a quest to rebuild your fallen Order. Pick up the pieces of your shattered past and complete your Jedi training, all while staying one step ahead of the Empire and its deadly Inquisitors. Utilize your Jedi training to overcome your opponents and solve the mysteries that lay in your path. Use the Force to augment the way you explore, allowing you to traverse new paths and discover parts of locations you’ve been to before. Move quickly, though. The Empire is on your trail and won’t stop until every Jedi is exterminated. [Electronic Arts]","Nov 15, 2019",Electronic Arts,81,Star Wars Jedi: Fallen Order,Action|Action Adventure|General|,7.9,Respawn Entertainment,T
"Alien: Isolation is a first-person survival horror game which captures the fear and tension evoked by Ridley Scott’s 1979 classic film. Players find themselves in an atmosphere of constant dread and mortal danger as an unpredictable, ruthless Xenomorph is stalking and killing deep in the shadows. Underpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive.","Oct  6, 2014",Sega,81,Alien: Isolation,Action Adventure|Sci-Fi|General|Survival|,8.5,Creative Assembly,M
"No comment , this is what battlefield was supposed to be.  I s seams like i play Battlefield 2 again , this sensation is priceless. This is a","May 30, 2017",Tripwire Interactive,81,Rising Storm 2: Vietnam,Action|Shooter|First-Person|Tactical|,7.5,Antimatter Games,None
