release_date,developer,publisher,userscore,rating,summary,metascore,genres,title
"Oct  2, 2020",Ravenscourt,Deep Silver,tbd,T,"Sing alone or share the stage with your friends in compelling game modes while you follow in the footsteps of Queen, the biggest rock band ever, with the legendary lead singer Freddie Mercury. Let their music take you on a trip through different decades. Master “Bohemian Rhapsody”, challenge",77,Action|Rhythm|Music|,Let's Sing Queen
"Jun  1, 2021",Sega,Sega,6.6,T,"Challenge the greatest fighters in the world in the ultimate remaster of the classic 3D fighter, now featuring gorgeous HD graphics, new online features, and all the bone-crunching, martial arts combat of the renowned original. Master your fighting style to defeat all challengers in the Fifth World Fighting Tournament and become a Virtua Fighter legend!",77,Action|Fighting|3D|,Virtua Fighter 5 Ultimate Showdown
"Oct  6, 2015",PlatinumGames,Activision,7.6,T,This is the best transformers game in a long time. The animation looks like the origional G1 cartoon but better of coarse. Fun story and dynamic of combining weapons. This is a very fun game and well worth $50.00. They could do so much with this genre. I hope for a sequel and more playable bots!,77,Action|Beat-'Em-Up|3D|,Transformers: Devastation
"Apr  4, 2017",TT Games,Warner Bros. Interactive Entertainment,7.4,E10+,"In LEGO City: Undercover developed by TT Games and published by Nintendo, players assume the identity of Chase McCain, an undercover detective armed with clever disguises. As players run, drive and even fly through the city, they'll use the Wii U GamePad as a map, communicator and indispensable crime scanner. This is the first time that the LEGO City play sets have come to life on a gaming platform and it's exclusively on the Wii U console.",77,Action Adventure|Open-World|,LEGO City Undercover
"Sep  1, 2015",Renegade Kid,Renegade Kid,5.6,E,"Drifting through the stars. Xeodrifter is the story of an interstellar drifter traveling the stars on a simple mission of exploration. We join our nomad as he embarks on the investigation of a small cluster of four planets in the omega sector, after a collision with a rogue asteroid damaged his warp core. Blast your way through alien landscapes, seek out valuable secrets, and defeat ancient guardians to unlock powers from a legendary supreme culture in this exciting journey of mystery and adventure.",77,Action|Platformer|2D|,Xeodrifter
"Jul 21, 2015",Telltale Games,Telltale Games,6.8,M,"In this penultimate episode, the actions of every Forrester are vital to the survival of the house. Rodrik's alliance with House Glenmore, and his defiance of the Whitehills, has drawn the ire of an even greater threat: Ramsay Snow. Far across the Narrow Sea in Essos, with Meereen now a free city, Asher is close to securing the army he desperately needs to return home, and save his family. In King's Landing, Mira's activities at Tommen's coronation have not escaped the attention of Margaery Tyrell, and Cersei has realized that the handmaiden may prove useful in her political games. Finally, beyond the Wall, Gared's unlikely allies are reluctant to help in the search for the North Grove... but this far into the frozen wilds, Crows and Free Folk have a common enemy; and winter is coming.",77,Action|Adventure|General|Point-and-Click|,Game of Thrones: Episode Five - A Nest of Vipers
"Nov 17, 2017",Bethesda Softworks,Bethesda Softworks,8.1,M,"A true, full-length open-world game for VR has arrived from award-winning developers, Bethesda Game Studios. Skyrim VR reimagines the complete epic fantasy masterpiece with an unparalleled sense of scale, depth, and immersion. From battling ancient dragons to exploring rugged mountains and",77,Role-Playing|Western-Style|,The Elder Scrolls V: Skyrim VR
"Oct 10, 2016",Sony Interactive Entertainment,Sony Interactive Entertainment,7.9,E,"It's free and you get Robot Rescue.  That's enough reason to give it 10.  Now Sony, can we have a full version of Robot Rescue as a stand alone game, that'd be great.",77,Miscellaneous|Party / Minigame|,The Playroom VR
"Nov  4, 2016",Infinity Ward,Activision,4.2,M,"Infinite Warfare is the first game in the franchise to venture beyond the reaches of Earth, framing a plausible future war in our solar system.  Infinite Warfare also introduces an original cooperative Zombies mode that takes players on a wild ride through a new storyline with unique gameplay features and mechanics. [Infinity Ward]",77,Action|Shooter|First-Person|Tactical|,Call of Duty: Infinite Warfare
"May  1, 2018",Metalhead Software,Metalhead Software,6.5,E,"The pitching mechanics are great. Hitting is pretty solid as well. The game looks nice, has incredible customization, solid season stat tracking an customization, and the fielding, from moving a player to diving or jumping for a ball, is satisfying. Diving for a ball takes practice to time it, but once you do that, it's really fun.",77,Sports|Team|Baseball|Arcade|,Super Mega Baseball 2
"May 12, 2015",PixelNAUTS,PixelNAUTS,7.1,T,"LOST ORBIT tells the story of Harrison, an astronaut and his struggle to return home. Despite his lack of resources, Harrison will relentlessly strive to survive hopeless conditions. Along his mission he encounters evidence that his accident was not an isolated incident and confronts a strange and dangerous alien race.",77,Action|Platformer|2D|,Lost Orbit
"Aug 15, 2017",Bloober Team,Aspyr,7.0,M,"What would you do if your fears were hacked? The year is 2084. You are Daniel Lazarski, an elite neural detective known as an Observer, whose purpose is to hack and invade suspects’ minds. To gather evidence, you must relive their darkest fears, and, finally, face your own. From Bloober Team, the creators of Layers of Fear, >observer_ is a cyberpunk horror game designed to disturb you.",77,Adventure|3D|First-Person|,Observer
"Feb 14, 2017",Rebellion,Rebellion,7.2,M,"<span class=""blurb blurb_collapsed"">Welcome to Italy, 1943.<br/> <br/>Set in the aftermath of its award-winning predecessor, Sniper Elite 4 continues the series World War Two heritage by transporting players across the beautiful Italian peninsula, from sun-drenched Mediterranean coastal towns, to colossal Nazi mega structures,</span>",77,Action|Shooter|First-Person|Tactical|,Sniper Elite 4
"Apr 11, 2017",Abstraction Games,Badland Games,7.7,T,a great and uniqe game mostly games like this are too few. classic art and nice game theme and good story if you are looking for a diffrent game this is it,77,Adventure|General|,The Sexy Brutale
"Oct 29, 2019",Digital Eclipse,Nighthawk Interactive,5.0,E10+,"Two Disney games make their long-awaited return to modern consoles in Disney Classic Games: Aladdin and The Lion King. This package of Disney classics is filled with tons of new features, enhancements, game modes, and display options, plus multiple versions of the games. Join Aladdin and his sidekick, Abu, as they race through the marketplace toward their date with destiny. Relive Aladdin’s classic adventure as you travel through Agrabah, the Cave of Wonders and more to defeat Jafar and rescue Jasmine.  Jump, fight, dodge and carpet-ride your way through this adventure, collecting gems along the way.  The Lion King brings to life the majesty and mystery of Africa through the tale of Simba, a lion cub faced with the challenging transition to maturity. Now, you too can be part of the adventure.  Driven into the wilderness by his evil uncle Scar, Simba finds salvation and Hakuna Matata with Pumbaa the warthog and Timon the meerkat.  Tackle heinous hyenas in the elephant’s graveyard, avoid the trampling hooves of stampeding wildebeest as you battle through 10 levels to ensure Simba claims his rightful place as The Lion King.",77,Miscellaneous|Compilation|,Disney Classic Games: Aladdin and the Lion King
"Sep 10, 2019",Electronic Arts,Electronic Arts,3.7,E10+,"EA SPORTS NHL 20 introduces cutting-edge gameplay innovation to showcase your skills, more customization to unlock your style, and new modes to compete with friends. RPM Tech-powered gameplay introduces Signature Shots that replicate your favourite NHL players' real-world shot styles. Over",77,Sports|Team|Ice Hockey|Sim|,NHL 20
"Feb 18, 2014",Double Helix Games,Capcom,7.1,E10+,"Originally released in 1989, Strider remains one of Capcom's most enduring franchises.  The game tells the story of Hiryu, the youngest ever ""Super A"" ranked agent of an elite corps known as the Striders.  Strider Hiryu receives orders to assassinate Grandmaster Meio, supreme dictator of Earth, who has plunged humanity into a dystopian dark age.",77,Fantasy|Action Adventure|General|Fantasy|,Strider
"May 30, 2017",Falcom,DotEmu,7.3,T,"700 years before the events of Ys I & II, the land of Ys was on the brink of destruction. Demons came in droves and forced the twin Goddesses who ruled the land to whisk their subjects away from the surface, into the safe embrace of the clouds. The demons were persistent, however, erecting a massive tower in pursuit. The battle that raged upon the ground had begun ascending for a second round up above.",77,Role-Playing|Action RPG|,Ys Origin
"Mar 10, 2015",Capcom,Capcom,7.0,M,"Resident Evil Revelations 2 - Episode 1 required; sold separately. Xbox Live free membership required. Xbox Live Gold membership required for multiplayer features. Episode Three: Judgment Neil is caught in the Overseer's trap. Following a clue he left behind, Claire and Moira search for a",77,Action Adventure|Survival|,Resident Evil: Revelations 2 - Episode 3: Judgment
"Oct 14, 2014",United Front Games,Square Enix,7.5,M,"The Definitive Edition of the critically acclaimed, award winning open-world action adventure, reworked, rebuilt and re-mastered for Xbox One. All 24 previously available DLC extensions from the Xbox 360 version have been integrated into the game, including the story-extending episode Year",77,Action Adventure|Modern|Open-World|,Sleeping Dogs: Definitive Edition
"Aug 20, 2019",Gunfire Games,Perfect World Entertainment,7.0,M,I bought it because I liked the gameplay of streamed videos and don't regret it. It's fun in multiplayer with a buddy or just helping other players. Playing alone is really challenging. Make use of the mods with the right weapons to defeat bosses (and work together). In my opinion you need to use different strategies for bosses.,77,Action|Shooter|Third-Person|Arcade|,Remnant: From the Ashes
"Mar 11, 2016",Io Interactive,Square Enix,5.3,None,this game is fantastic to play. i enjoying stealth and assassinate targets.. graphic is great.  i am not sure if story is great because there are 7 episodes in whole game. i will rate story when i complete full game with 7 episodes. Enemies seem little smart and little dumb. Kudos to IQ devs,77,Action Adventure|General|,Hitman - Intro Pack
"Jul 26, 2016",Double Fine Productions,Adult Swim,7.0,T,"Assume the role of the last known human in the universe, and all that's left of you is a disembodied head. Seeking clues to your fractured past, you must travel through a hostile world of machines using a special helmet that allows you to dock into and take control of any robotic host body. As you launch from one body to the next, you'll start to discover that things are not quite what they appear to be, and the fate of humanity has yet to be decided. From Double Fine Productions, Headlander is a a retro-futuristic, side-scrolling, action-adventure game set in a world inspired by 70’s science fiction. It's a world of automation, a utopia gone wrong in which all of humanity have transferred their minds into robotic imposter bodies and are ruled by a deranged computer.",77,Action|Action Adventure|General|Platformer|2D|,Headlander
"Mar 21, 2017",Koei Tecmo Games,Koei Tecmo Games,7.5,T,"Slayers: Go forth and eradicate the Oni menace. Experience the latest hunting action game featuring a dynamic targeted destruction system. From the battlefield to the village that serves as your base of operations, the game takes place in a vast “open world.” Explore the vast world for yourself, and enjoy hunting action from an entirely new perspective. [Playstation.com]",77,Role-Playing|Action RPG|,Toukiden 2
"Jan 22, 2018",Telltale Games,Telltale Games,7.2,M,"Everything that's been building up the past two episodes finally comes to fruition in a very satisfying episode. Some intense action scenes, difficult choices that WILL have a lasting effect, and terrific writing makes this one of the best episodes that TT has ever done",77,Adventure|Point-and-Click|,Batman: The Enemy Within - Episode 4: What Ails You
