developer,userscore,metascore,genres,rating,summary,publisher,title,release_date
Videocult,8.30,71,Action|Platformer|2D|,E10+,"<span class=""blurb blurb_collapsed"">You are a nomadic slugcat, both predator and prey in a broken ecosystem. Grab your spear and brave the industrial wastes, hunting enough food to survive, but be wary other, bigger creatures have the same plan... and slugcats look delicious.<br/> <br/>You are a slugcat. The world around you is full</span>",Adult Swim,Rain World,"Dec 13, 2018"
"Jackbox Games, Inc.",8.50,71,Miscellaneous|Party / Minigame|,T,"<span class=""blurb blurb_collapsed"">1) The popular trivia deathmatch Trivia Murder Party 2 (1-8 players). Try to survive the bizarre new minigames.<br/> <br/>2) The weird word circus Dictionarium (3-8 players). May the funniest definition win.

3) The hidden identity game Push The Button (4-10 players) . Can you discover the aliens</span>","Jackbox Games, Inc.",The Jackbox Party Pack 6,"Oct 17, 2019"
Devs Must Die,7.49,71,Action|Platformer|2D|,E,None,Green Man Gaming Publishing,Skybolt Zack,"Nov  7, 2019"
DoubleDutch Games,7.50,71,Action|Platformer|2D|,E10+,None,tinyBuild,SpeedRunners,"Jan 23, 2020"
Zen Studios,7.49,71,Action|Role-Playing|General|Roguelike|,E10+,"Your cruise was so relaxing until the monsters from another dimension showed up to kill everyone. A tactical turn-based RPG with roguelike elements, Dread Nautical combines immersive gameplay with a cartoonish—yet captivatingly eerie—tone. Supernatural forces have overwhelmed a cruise liner called Hope with mysterious malevolent monstrosities. Fight them off as one of four unlikely heroes. Manage your scarce resources effectively, and convince scattered survivors to fight alongside you. You’ll need them for any hope of escaping this “vacation” alive.",Zen Studios,Dread Nautical,"Apr 29, 2020"
Jupiter Corporation,7.49,71,Puzzle|Logic|,E,"Picross S5 is about what I expected, more of the first five games. Picross is my favorite type of puzzles, so I am pleased with what I got. There are four different types of Picross, the standard Picross, Mega Picross with numbers that stretch over two rows/columns, Clip Picross with a lot of small puzzles that result in one huge Image, and Color Picross, the same but with three different colors. It might be a bit expensive for Picross Newcomers at 10€, but its definitely worth it if you see it on sale.",Jupiter Corporation,Picross S 5,"Nov 26, 2020"
Koei Tecmo Games,7.10,71,Action|General|,M,"Battle through the narrative of Season 1 and 2 of the anime from a new perspective. Players can also enjoy original stories supervised by series creator Hajime Isayama. Besides playable characters over 40, players can also create your very own character by ""Character Editor"". Battle through",Koei Tecmo Games,Attack on Titan 2: Final Battle,"Jul  5, 2019"
TicToc Games,7.49,71,Action|Shooter|Shoot-'Em-Up|Horizontal|,E10+,"<span class=""blurb blurb_collapsed"">Pilot a team of animals across the Solar System, and blast through evil aquatic enemies in the family-friendly couch co-op space shooter, B.ARK!<br/> <br/>Our only hope for survival rests in the paws of the furry but ferocious members of Team B.ARK. The cybernetic fish armada, known as the Dark</span>",TicToc Games,B.Ark,"Jul 29, 2021"
StudioInkyfox,7.49,71,Adventure|3D|Third-Person|,E,"<span class=""blurb blurb_collapsed"">Omno whisks you away on a journey of discovery through an ancient world of wonders. It's a single-player adventure full of puzzles, secrets, and obstacles to overcome.<br/><br/>The power of a lost civilisation will carry you on an epic quest through lush forests, sun-blasted deserts, and frozen</span>",StudioInkyfox,OMNO,"Dec 16, 2021"
Cornfox & Bros.,8.10,71,Action Adventure|Open-World|,T,"<span class=""blurb blurb_collapsed"">A GRAND ADVENTURE<br/>Oceanhorn 2: Knights of the Lost Realm, set a thousand years before the events of the first chapter, takes you on a magical journey across the vast world of Gaia, brimming with mythology and lore. A young Knight faces an impossible challenge, as Warlock Mesmeroth has</span>",Cornfox & Bros.,Oceanhorn 2: Knights of the Lost Realm,"Oct 28, 2020"
